h_fraction,sin_theta_now,b_norm_now,dh_last_window,sin_theta_next,b_norm_next,best_merit_next_3,merit_now,windows_since_dump,coast_h_fraction_3,coast_h_fraction_6,label
0.473947948,0.7427452809,1.269782331,0.3068524774,0.6763900104,1.507320575,1.019536579,0.9431248342,0.15,1.407557103,2.028504062,0
0.4054640222,0.8833071746,1.507320575,0.511414201,0.9892251516,1.303970076,1.289919996,1.331427078,0.2,1.44531635,1.715583438,1
0.1541236416,0.9666497476,1.303970076,0.2924313476,0.9103731674,0.8736377524,0.7953363678,1.260482345,0,1.086956021,1.554754034,0
0.535304043,0.5148290991,0.8736377524,0.4176655782,0.5148290991,0.8736377524,0.449774137,0.449774137,0.05,1.109858054,1.210475031,0
0.1321634197,0.443821561,0.8366786042,0,0.6948595955,0.938599303,0.7867170813,0.3713360042,1,0.3975428703,0.483029245,0
0.1722097547,0.9892202294,0.938599303,0.105076094,0.9986761278,0.9538579728,0.9525951868,0.9284814178,1,0.405655024,0.4795152011,0
0.2476848152,0.8783261311,0.9538579728,0.1193181145,0.8651838235,0.8601897834,0.8704713999,0.8377983829,1,0.3503238968,0.5240505089,0
0.3093404526,0.7385841894,0.8601897834,0.1001866809,0.9259348004,0.7971009995,0.9118625623,0.635322574,1,0.2995330347,0.5756247983,0
0.3154233871,0.918183542,0.7971009995,0.0795498086,0.9975570467,0.8768121004,0.9170902975,0.731885019,1,0.3248975906,0.621477497,0
0.256294316,0.9906553551,0.8768121004,0.1149279147,0.9390631704,0.973273576,0.9139653699,0.8686186027,1,0.3663585945,0.7011725008,0
0.173614126,0.9563482928,0.973273576,0.1614184884,0.9920112058,0.9481871196,0.9406122479,0.9307885228,1,0.3620937768,0.8319805121,0
0.1656501398,0.9730853614,0.9481871196,0.1718170828,0.9169249002,0.8337325984,0.9137495767,0.922667006,1,0.3615425269,0.9601806545,0
0.2100755788,0.9615943787,0.8337325984,0.1416501724,0.9962404204,0.8083135511,0.8226560654,0.8017125799,1,0.4614165915,1.027374226,0
0.2217468879,0.8971648748,0.8083135511,0.1327883107,0.6174551434,0.9242403213,0.5706769401,0.7251905259,1,0.6103333385,1.022347553,0
0.226603769,0.6421058953,0.9242403213,0.1776497254,0.7349801988,1.002130868,0.8266880438,0.593460159,1,0.7018579015,0.9976817504,0
0.3049736773,0.9988492255,1.002130868,0.2207305104,0.9823577655,0.9353560497,0.918854279,1.000977642,1,0.6947598211,1.012397398,0
0.4224513729,0.8188650537,0.9353560497,0.2222024078,0.8090683656,0.8125331805,0.9726405055,0.7659303818,1,0.6317906735,1.060843936,0
0.493962206,0.7824094519,0.8125331805,0.1940831931,0.9848881959,0.8345926292,0.9479722897,0.6357336404,1,0.6099212222,1.106624164,0
0.4791312525,0.9999203786,0.8345926292,0.1965138193,0.9267324382,0.9741441276,0.9027709625,0.8345261778,1,0.650588161,1.158319573,0
0.3990653993,0.8839317873,0.9741441276,0.2462746801,0.8826958487,1.023341698,0.9032994683,0.8610769598,1,0.6733503393,1.259610947,0
0.3401499465,0.9842218521,1.023341698,0.2841042577,0.992683418,0.9167117736,0.9100045767,1.007195261,1,0.6547550596,1.403500938,0
0.3606691466,0.890257103,0.9167117736,0.2767116286,0.8714716393,0.7996600747,1.019462738,0.8161091678,1,0.6811564747,1.520612914,0
0.3898562111,0.962663408,0.7996600747,0.2457625933,0.9709051477,0.8729099207,0.8475127354,0.7698034927,1,0.8134243041,1.561742365,0
0.3852294587,0.809537488,0.8729099207,0.2610470771,0.5917515334,1.022406415,0.7251281865,0.7066533044,1,0.9607004725,1.542581976,0
0.4097755274,0.8053131515,1.022406415,0.313213655,0.9116631574,1.035912542,0.944403299,0.8233573325,1,1.020288107,1.530088483,0
0.5179066646,0.9842597112,1.035912542,0.3419653413,0.8995140488,0.8941002787,0.8436140383,1.01960698,1,0.981210932,1.56145611,1
0.2927086064,0.3174011938,0.8941002787,0.4230290931,0.7178733056,0.7972584095,1.056741154,0.2837884958,0,0.2817235114,0.4284784759,0
0.3265016815,0.7202971611,0.7972584095,0.05684148902,0.9826497001,0.9192038669,1.058917623,0.574262969,0.05,0.2651625723,0.4739036159,0
0.2957612466,0.9866439051,0.9192038669,0.07511864272,0.9955478983,1.065834522,1.061089319,0.9069268929,0.1,0.2895206679,0.551018284,0
